,user_id,top_5_lvl_2_boosting_recs
119,151,"[5569230, 5569845, 1029743, 1029743, 1106523]"
120,153,"[880150, 857503, 999858, 908318, 985999]"
121,156,"[1122358, 866211, 1127831, 1070820, 1126899]"
122,157,"[916122, 1126899, 1029743, 1029743, 1106523]"
123,158,"[1029743, 1081177, 1037840, 1105488, 951412]"
124,159,"[1004906, 5569230, 1029743, 1029743, 1106523]"
125,160,"[1101010, 6034857, 1075368, 940947, 1037840]"
126,161,"[916122, 916122, 844179, 5568378, 834117]"
127,162,"[1122358, 1122358, 1070820, 916122, 1029743]"
128,164,"[1029743, 1029743, 986912, 854405, 823704]"
129,166,"[1043751, 1029743, 1029743, 1029743, 844179]"
130,167,"[8090521, 1029743, 1106523, 5569230, 1126899]"
131,168,"[1029743, 1029743, 878996, 1004906, 1106523]"
132,169,"[1106523, 1029743, 1029743, 5569230, 1126899]"
133,171,"[8090521, 1029743, 1029743, 1106523, 5569230]"
134,172,"[913210, 983584, 834117, 1075368, 5569471]"
135,174,"[880150, 12810393, 985999, 999858, 916122]"
136,178,"[8090521, 1040807, 1106523, 1037840, 1075368]"
137,183,"[1122358, 5568378, 5569845, 1029743, 1029743]"
138,184,"[5569471, 878996, 8090521, 866211, 1127831]"
139,185,"[1029743, 1029743, 1029743, 1029743, 8090537]"
140,187,"[951412, 940947, 983584, 913210, 5569845]"
141,188,"[951412, 1105488, 857503, 1122358, 908318]"
142,190,"[1040807, 986912, 933835, 1132771, 1043751]"
143,191,"[1029743, 1029743, 1106523, 5569230, 1126899]"
144,192,"[1029743, 1029743, 1029743, 1029743, 5569230]"
145,193,"[1106523, 1122358, 5568378, 5569845, 913210]"
146,194,"[1070820, 1122358, 8090537, 5569471, 834117]"
147,195,"[916122, 1029743, 1029743, 1106523, 5569230]"
148,196,"[1127831, 8090521, 878996, 8090537, 5569471]"
149,197,"[1126899, 1122358, 1075368, 834117, 983584]"
150,198,"[880150, 1075368, 899624, 8090537, 8090537]"
151,199,"[1029743, 1075368, 1029743, 1106523, 5569230]"
152,200,"[1122358, 834117, 983584, 913210, 5568378]"
153,201,"[5568378, 6034857, 6034857, 5568378, 5568378]"
154,202,"[916122, 880150, 985999, 844179, 1044078]"
155,203,"[1029743, 1029743, 5569471, 5568378, 5569845]"
156,204,"[5569230, 1070820, 1127831, 1126899, 1122358]"
157,205,"[1106523, 1106523, 916122, 985999, 999858]"
158,208,"[916122, 880150, 986912, 933835, 1075368]"
159,209,"[1132771, 1029743, 1029743, 8090537, 899624]"
160,210,"[12810393, 1106523, 985999, 999858, 874972]"
161,211,"[834117, 965267, 5585510, 6034857, 1081177]"
162,212,"[8090537, 857503, 1122358, 1037840, 965267]"
163,213,"[5569845, 8090521, 8090537, 5569471, 1075368]"
164,214,"[901062, 901062, 1070820, 1126899, 1029743]"
165,215,"[916122, 1132771, 913210, 983584, 834117]"
166,216,"[1029743, 1029743, 1106523, 5569230, 1126899]"
167,217,"[899624, 844179, 916122, 823704, 1043751]"
168,218,"[1029743, 1029743, 1122358, 8090537, 8090521]"
169,219,"[880150, 940947, 6034857, 1127831, 5569471]"
170,220,"[866211, 983584, 899624, 1075368, 1081177]"
171,221,"[1043751, 1105488, 1037840, 857503, 823704]"
172,222,"[878996, 866211, 866211, 878996, 1029743]"
173,224,"[12810393, 983584, 834117, 5569471, 8090537]"
174,225,"[8090521, 878996, 8090537, 5569471, 1004906]"
175,226,"[899624, 933835, 1075368, 1081177, 6034857]"
176,227,"[1075368, 1037840, 1029743, 1029743, 1106523]"
177,228,"[1070820, 8090521, 8090537, 5569471, 1126899]"
178,230,"[1029743, 1029743, 1044078, 857503, 1105488]"
179,232,"[1106523, 1132771, 857503, 1122358, 823704]"
180,233,"[5585510, 908318, 901062, 951412, 1105488]"
181,235,"[1070820, 1075368, 1037840, 1132771, 5585510]"
182,236,"[1070820, 8090521, 8090537, 1029743, 1029743]"
183,239,"[1044078, 1044078, 1004906, 1075368, 986912]"
184,240,"[1106523, 5569230, 844179, 12810393, 899624]"
185,241,"[857503, 951412, 1105488, 901062, 866211]"
186,242,"[1029743, 1029743, 1029743, 1029743, 844179]"
187,243,"[6034857, 1126899, 1127831, 866211, 878996]"
188,244,"[834117, 965267, 878996, 1004906, 854852]"
189,245,"[1004906, 899624, 986912, 933835, 1075368]"
190,246,"[1070820, 1037840, 1075368, 1029743, 1029743]"
191,247,"[1081177, 874972, 1132771, 1043751, 1101010]"
192,248,"[866211, 878996, 8090537, 5569471, 1004906]"
193,249,"[1029743, 1029743, 5568378, 1122358, 913210]"
194,250,"[8090537, 844179, 8090537, 8090537, 933835]"
195,251,"[5568378, 5568378, 874972, 1075368, 8090521]"
196,252,"[913210, 901062, 985999, 908318, 999858]"
197,253,"[844179, 1044078, 916122, 940947, 12810393]"
198,254,"[1122358, 1029743, 1029743, 1106523, 5569230]"
199,256,"[1075368, 5568378, 1037840, 1127831, 951412]"
200,257,"[986912, 933835, 1040807, 1018740, 1101010]"
201,258,"[12810393, 874972, 5569845, 5568378, 999858]"
202,259,"[940947, 6034857, 878996, 8090537, 5569471]"
203,260,"[834117, 854405, 823704, 1132771, 1122358]"
204,262,"[1043751, 1040807, 1040807, 1101010, 986912]"
205,263,"[1004906, 12810393, 878996, 866211, 1044078]"
206,264,"[1132771, 1018740, 1043751, 933835, 986912]"
207,265,"[8090521, 1029743, 1029743, 1106523, 5569230]"
208,266,"[1126899, 1070820, 5569471, 901062, 1040807]"
209,267,"[913210, 5569845, 5568378, 1122358, 983584]"
210,268,"[965267, 878996, 1004906, 854852, 899624]"
211,269,"[1106523, 1106523, 899624, 999858, 940947]"
212,270,"[1101010, 844179, 1106523, 1075368, 1037840]"
213,271,"[8090521, 1004906, 874972, 5568378, 854405]"
214,273,"[901062, 951412, 1105488, 857503, 908318]"
215,274,"[1105488, 951412, 901062, 908318, 5568378]"
216,275,"[1037840, 1075368, 999858, 5568378, 5569845]"
217,276,"[874972, 8090537, 5569471, 834117, 940947]"
218,278,"[1004906, 899624, 1044078, 8090537, 8090537]"
219,280,"[1106523, 834117, 983584, 913210, 5569845]"
220,281,"[5585510, 878996, 8090537, 8090521, 1070820]"
221,282,"[6034857, 985999, 1029743, 1029743, 1106523]"
222,283,"[933835, 854852, 5569471, 1044078, 916122]"
223,284,"[1122358, 5569471, 8090537, 834117, 1029743]"
224,285,"[5568378, 1106523, 1029743, 1029743, 5569230]"
225,286,"[965267, 5585510, 834117, 6034857, 1081177]"
226,287,"[1106523, 12810393, 823704, 940947, 854405]"
227,288,"[916122, 1126899, 1081177, 5569845, 8090521]"
228,289,"[1122358, 913210, 983584, 5569471, 1106523]"
229,290,"[965267, 5585510, 6034857, 1081177, 899624]"
230,291,"[5568378, 8090537, 1044078, 1127831, 866211]"
231,292,"[1106523, 1106523, 1106523, 1122358, 1126899]"
232,294,"[866211, 1044078, 844179, 916122, 880150]"
233,297,"[5568378, 874972, 12810393, 899624, 8090537]"
234,300,"[5569845, 5568378, 999858, 908318, 985999]"
235,301,"[857503, 834117, 916122, 12810393, 999858]"
236,302,"[1106523, 5569230, 1126899, 1070820, 1029743]"
237,303,"[5585510, 5585510, 5569230, 844179, 899624]"
238,304,"[1106523, 1029743, 1029743, 1029743, 1029743]"
239,305,"[913210, 5569230, 1106523, 1029743, 1029743]"
240,306,"[1101010, 6034857, 5568378, 908318, 1018740]"
241,307,"[1029743, 1126899, 5569230, 1029743, 1106523]"
242,308,"[1132771, 854405, 823704, 1122358, 857503]"
243,311,"[1043751, 1101010, 1018740, 1040807, 933835]"
244,312,"[5569471, 8090537, 8090521, 1070820, 1126899]"
245,314,"[878996, 940947, 823704, 854405, 5569471]"
246,316,"[5585510, 878996, 5568378, 1122358, 5568378]"
247,317,"[1101010, 913210, 6034857, 8090521, 1029743]"
248,318,"[1122358, 985999, 880150, 999858, 8090521]"
249,321,"[1075368, 1037840, 1132771, 5569230, 916122]"
250,322,"[901062, 1044078, 1029743, 1106523, 5569230]"
251,323,"[1122358, 854405, 823704, 940947, 5568378]"
252,324,"[901062, 901062, 857503, 878996, 1004906]"
253,325,"[6034857, 5569845, 1081177, 5569471, 5569230]"
254,326,"[1040807, 8090521, 8090521, 1101010, 1029743]"
255,327,"[5569845, 1106523, 1029743, 1029743, 5569230]"
256,328,"[1070820, 878996, 1070820, 940947, 933835]"
257,329,"[901062, 854852, 1029743, 1029743, 1029743]"
258,330,"[1004906, 1106523, 1075368, 1037840, 913210]"
259,331,"[5569845, 1081177, 6034857, 5585510, 965267]"
260,332,"[940947, 5568378, 857503, 866211, 878996]"
261,333,"[899624, 1004906, 1127831, 866211, 878996]"
262,334,"[1029743, 1029743, 8090521, 866211, 878996]"
263,338,"[844179, 899624, 899624, 878996, 866211]"
264,339,"[1106523, 1029743, 1029743, 5569230, 1126899]"
265,342,"[854852, 1029743, 1029743, 1106523, 5569230]"
266,343,"[933835, 1018740, 1040807, 1132771, 1043751]"
267,345,"[5568378, 933835, 6034857, 5585510, 965267]"
268,346,"[1101010, 1101010, 1101010, 986912, 1029743]"
269,347,"[844179, 1126899, 1070820, 1127831, 866211]"
270,348,"[1106523, 5585510, 985999, 1044078, 12810393]"
271,349,"[1044078, 878996, 940947, 854405, 823704]"
272,350,"[1044078, 1106523, 913210, 5569845, 5568378]"
273,351,"[1044078, 866211, 899624, 6034857, 874972]"
274,353,"[1105488, 857503, 1122358, 901062, 951412]"
275,354,"[878996, 940947, 823704, 854405, 1106523]"
276,356,"[1029743, 1029743, 1106523, 5569230, 1126899]"
277,357,"[985999, 8090521, 8090537, 5569471, 1004906]"
278,358,"[1106523, 1106523, 1106523, 1106523, 823704]"
279,360,"[1106523, 5569230, 1029743, 1029743, 1126899]"
280,361,"[1044078, 1044078, 899624, 1081177, 1101010]"
281,362,"[1127831, 1029743, 1029743, 1106523, 5569230]"
282,364,"[1105488, 5568378, 908318, 901062, 1040807]"
283,365,"[986912, 1122358, 880150, 985999, 8090537]"
284,366,"[940947, 823704, 854405, 1037840, 1075368]"
285,367,"[1081177, 6034857, 5585510, 899624, 1127831]"
286,369,"[986912, 8090537, 1106523, 1044078, 866211]"
287,371,"[940947, 12810393, 5569845, 880150, 1029743]"
288,373,"[986912, 834117, 5569471, 8090537, 8090521]"
289,374,"[1029743, 1029743, 1037840, 908318, 901062]"
290,375,"[5568378, 8090537, 5569471, 1075368, 834117]"
291,376,"[1044078, 1044078, 1044078, 854405, 823704]"
292,377,"[1126899, 5569230, 1106523, 1029743, 1029743]"
293,378,"[1105488, 857503, 1122358, 823704, 854405]"
294,380,"[880150, 854852, 854852, 1004906, 8090521]"
295,381,"[1106523, 6034857, 1127831, 866211, 878996]"
296,382,"[1106523, 857503, 1122358, 1105488, 1081177]"
297,383,"[985999, 1037840, 1043751, 857503, 1122358]"
298,384,"[1075368, 874972, 6034857, 5585510, 965267]"
299,385,"[854852, 1101010, 1132771, 986912, 933835]"
300,386,"[5568378, 1127831, 857503, 1105488, 951412]"
301,387,"[1018740, 913210, 933835, 1126899, 986912]"
302,388,"[901062, 951412, 1105488, 857503, 908318]"
303,389,"[951412, 866211, 1081177, 1037840, 1075368]"
304,390,"[1122358, 5569845, 5568378, 8090521, 1070820]"
305,392,"[951412, 985999, 985999, 940947, 916122]"
306,393,"[1029743, 1029743, 913210, 899624, 1081177]"
307,394,"[1029743, 1029743, 986912, 5568378, 823704]"
308,395,"[5568378, 1122358, 5569230, 1029743, 1029743]"
309,396,"[899624, 1029743, 1029743, 1106523, 5569230]"
310,397,"[844179, 1044078, 854405, 823704, 1132771]"
311,398,"[5569230, 8090521, 854852, 899624, 1081177]"
312,400,"[1029743, 1029743, 1029743, 899624, 1029743]"
313,401,"[986912, 878996, 823704, 916122, 12810393]"
314,402,"[823704, 880150, 12810393, 916122, 844179]"
315,404,"[5569471, 1127831, 866211, 878996, 1004906]"
316,405,"[854852, 916122, 1029743, 1029743, 1106523]"
317,406,"[1122358, 5568378, 1029743, 1029743, 1106523]"
318,407,"[1122358, 5568378, 5569845, 913210, 983584]"
319,409,"[1101010, 999858, 1004906, 878996, 916122]"
320,410,"[1075368, 1126899, 1070820, 8090521, 8090537]"
321,411,"[1081177, 5585510, 965267, 834117, 940947]"
322,412,"[878996, 986912, 965267, 933835, 1081177]"
323,413,"[1106523, 1106523, 5569230, 5585510, 1029743]"
324,414,"[880150, 1043751, 1132771, 933835, 866211]"
325,415,"[1075368, 933835, 986912, 899624, 854852]"
326,417,"[986912, 933835, 1075368, 1040807, 1018740]"
327,418,"[1029743, 916122, 1029743, 1029743, 1029743]"
328,420,"[1029743, 1029743, 8090521, 8090537, 5569471]"
329,421,"[916122, 866211, 899624, 901062, 951412]"
330,425,"[1070820, 1070820, 913210, 874972, 5568378]"
331,426,"[916122, 901062, 866211, 1037840, 1075368]"
332,427,"[1029743, 1029743, 823704, 854405, 1122358]"
333,429,"[5585510, 913210, 854852, 899624, 1081177]"
334,430,"[5569230, 5569230, 1029743, 1029743, 1029743]"
335,432,"[866211, 878996, 8090537, 5569471, 1004906]"
336,433,"[1106523, 951412, 1105488, 857503, 1122358]"
337,434,"[1029743, 1029743, 1106523, 5569230, 916122]"
338,435,"[8090521, 8090521, 8090521, 8090521, 5569230]"
339,437,"[1075368, 1037840, 1029743, 1029743, 1106523]"
340,438,"[834117, 6034857, 6034857, 6034857, 899624]"
341,441,"[12810393, 6034857, 1122358, 1075368, 933835]"
342,442,"[1126899, 1018740, 880150, 1043751, 1132771]"
343,443,"[866211, 1075368, 1037840, 901062, 940947]"
344,446,"[1075368, 1106523, 5569230, 1126899, 1070820]"
345,447,"[986912, 1070820, 1029743, 1029743, 1106523]"
346,449,"[1132771, 913210, 1029743, 1029743, 1029743]"
347,450,"[878996, 1044078, 1101010, 1101010, 834117]"
348,451,"[916122, 1004906, 866211, 1127831, 1070820]"
349,454,"[916122, 916122, 5569230, 5569230, 1044078]"
350,457,"[1029743, 1029743, 5569471, 1126899, 1070820]"
351,458,"[1075368, 1081177, 6034857, 5585510, 965267]"
352,459,"[983584, 913210, 834117, 965267, 5585510]"
353,460,"[1122358, 1106523, 1029743, 1029743, 5569230]"
354,461,"[985999, 1037840, 1105488, 880150, 1043751]"
355,462,"[1043751, 1081177, 857503, 1122358, 6034857]"
356,463,"[12810393, 12810393, 1070820, 1126899, 5569230]"
357,464,"[916122, 844179, 1044078, 1127831, 866211]"
358,466,"[5569230, 1029743, 1029743, 1106523, 1126899]"
359,467,"[916122, 834117, 8090537, 1122358, 880150]"
360,468,"[878996, 1106523, 1122358, 1075368, 1037840]"
361,469,"[901062, 901062, 1029743, 1029743, 1106523]"
362,470,"[866211, 8090521, 878996, 8090537, 5569471]"
363,471,"[8090521, 940947, 823704, 854405, 1122358]"
364,474,"[913210, 5569845, 5568378, 1122358, 983584]"
365,477,"[1029743, 1029743, 1029743, 1029743, 1122358]"
366,478,"[5568378, 908318, 985999, 901062, 1040807]"
367,479,"[1122358, 8090537, 5569230, 1029743, 1029743]"
368,480,"[834117, 983584, 913210, 5569845, 5568378]"
369,482,"[1044078, 1004906, 8090537, 5568378, 1101010]"
370,483,"[1122358, 8090537, 5569471, 834117, 983584]"
371,484,"[1106523, 1029743, 1029743, 5569230, 1126899]"
372,485,"[899624, 1004906, 854852, 1075368, 1081177]"
373,487,"[901062, 965267, 834117, 983584, 913210]"
374,489,"[986912, 986912, 986912, 986912, 1018740]"
375,491,"[1106523, 1029743, 1029743, 5569230, 908318]"
376,493,"[1004906, 986912, 899624, 854852, 878996]"
377,495,"[874972, 866211, 1029743, 1029743, 1106523]"
378,497,"[1037840, 5569471, 1075368, 834117, 983584]"
379,502,"[1029743, 1029743, 866211, 8090521, 878996]"
380,503,"[866211, 1122358, 857503, 1037840, 1105488]"
381,505,"[1126899, 5569230, 1106523, 1029743, 1029743]"
382,506,"[965267, 878996, 1004906, 854852, 899624]"
383,507,"[1126899, 866211, 951412, 899624, 1081177]"
384,508,"[1004906, 8090537, 1029743, 1029743, 1106523]"
385,510,"[999858, 878996, 933835, 986912, 1040807]"
386,511,"[1029743, 1106523, 5569230, 1126899, 1070820]"
387,513,"[1132771, 1018740, 1081177, 5569471, 986912]"
388,514,"[866211, 908318, 857503, 1075368, 940947]"
389,515,"[1029743, 1029743, 1106523, 5569230, 1126899]"
390,516,"[854405, 823704, 1132771, 1106523, 1029743]"
391,517,"[854405, 1081177, 1126899, 1126899, 1075368]"
392,518,"[834117, 1122358, 1122358, 1044078, 844179]"
393,520,"[878996, 913210, 8090537, 916122, 1127831]"
394,521,"[899624, 5569471, 834117, 983584, 12810393]"
395,523,"[1029743, 1029743, 1029743, 1029743, 844179]"
396,524,"[866211, 1122358, 8090537, 5569471, 834117]"
397,525,"[1101010, 933835, 1040807, 1018740, 1132771]"
398,526,"[913210, 8090521, 823704, 5569230, 5585510]"
399,527,"[951412, 901062, 933835, 854405, 823704]"
400,531,"[1075368, 5569230, 8090521, 1029743, 1029743]"
401,533,"[1029743, 1029743, 899624, 880150, 854852]"
402,534,"[5569230, 1106523, 1029743, 1029743, 1101010]"
403,537,"[5569471, 1029743, 1106523, 5569230, 1126899]"
404,538,"[1070820, 1070820, 916122, 916122, 1127831]"
405,539,"[874972, 1101010, 5568378, 1122358, 857503]"
406,540,"[951412, 6034857, 854852, 1029743, 1029743]"
407,542,"[1106523, 1106523, 8090521, 983584, 940947]"
408,543,"[8090537, 1105488, 1037840, 880150, 1043751]"
409,544,"[878996, 1044078, 12810393, 1070820, 8090521]"
410,545,"[1081177, 1127831, 866211, 878996, 1004906]"
411,547,"[5585510, 916122, 1106523, 940947, 823704]"
412,548,"[857503, 1081177, 913210, 12810393, 983584]"
413,550,"[1101010, 1018740, 1029743, 1029743, 1106523]"
414,552,"[1105488, 1081177, 6034857, 5585510, 965267]"
415,553,"[1132771, 986912, 1040807, 1029743, 878996]"
416,554,"[8090537, 1029743, 1029743, 5569230, 916122]"
417,556,"[1043751, 857503, 1122358, 1132771, 823704]"
418,557,"[1029743, 1029743, 1106523, 5569230, 1126899]"
419,558,"[878996, 866211, 1127831, 899624, 854852]"
420,560,"[916122, 1029743, 1029743, 1029743, 1029743]"
421,562,"[8090537, 8090537, 5568378, 999858, 908318]"
422,563,"[854852, 1070820, 1070820, 8090537, 8090521]"
423,564,"[1029743, 1029743, 1106523, 5569230, 1126899]"
424,566,"[1029743, 1029743, 999858, 1127831, 8090521]"
425,567,"[986912, 1044078, 854852, 899624, 1081177]"
426,568,"[878996, 866211, 1106523, 1106523, 899624]"
427,569,"[5568378, 5569471, 1029743, 5569230, 1126899]"
428,570,"[878996, 866211, 1075368, 1037840, 986912]"
429,574,"[8090521, 1101010, 1101010, 1101010, 933835]"
430,575,"[901062, 5569230, 1106523, 1018740, 1101010]"
431,576,"[866211, 1029743, 1029743, 1106523, 5569230]"
432,577,"[901062, 1101010, 1018740, 1040807, 933835]"
433,578,"[8090521, 8090521, 1081177, 880150, 985999]"
434,579,"[866211, 5585510, 823704, 854405, 940947]"
435,580,"[940947, 908318, 5568378, 5569845, 874972]"
436,581,"[1075368, 1037840, 1029743, 1029743, 1106523]"
437,582,"[857503, 1122358, 1132771, 1043751, 1037840]"
438,583,"[5569845, 5568378, 1122358, 913210, 983584]"
439,586,"[880150, 1004906, 8090521, 8090521, 857503]"
440,587,"[5569471, 834117, 983584, 913210, 5569845]"
441,588,"[1106523, 951412, 901062, 834117, 8090537]"
442,590,"[5569230, 1044078, 8090521, 8090537, 8090537]"
443,591,"[8090521, 1029743, 1029743, 1106523, 5569230]"
444,593,"[5568378, 1122358, 5569845, 913210, 983584]"
445,594,"[8090537, 866211, 1106523, 916122, 844179]"
446,595,"[857503, 6034857, 5585510, 965267, 908318]"
447,596,"[1029743, 1029743, 1106523, 1044078, 8090537]"
448,598,"[1106523, 8090537, 5569471, 8090521, 878996]"
449,600,"[1029743, 1029743, 5569230, 5569230, 1132771]"
450,602,"[1029743, 1029743, 940947, 823704, 854405]"
451,603,"[1122358, 1037840, 1075368, 5569471, 8090537]"
452,604,"[866211, 866211, 880150, 933835, 940947]"
453,605,"[1037840, 1075368, 916122, 1106523, 1029743]"
454,606,"[899624, 878996, 1101010, 854405, 823704]"
455,608,"[1106523, 1106523, 985999, 8090537, 1044078]"
456,609,"[1075368, 1037840, 1081177, 965267, 916122]"
457,610,"[1081177, 901062, 965267, 834117, 983584]"
458,611,"[1029743, 1029743, 1127831, 916122, 844179]"
459,612,"[1029743, 1029743, 1029743, 1029743, 854405]"
460,613,"[986912, 940947, 854405, 823704, 874972]"
461,614,"[986912, 878996, 1044078, 1075368, 1037840]"
